slide_number,title,prompt,character,aspect_ratio
011,プロンプトとは？,Professional abstract background for: プロンプトとは？,なし,3:4
012,プロンプトの例：悪い例,Professional abstract background for: プロンプトの例：悪い例,なし,3:4
013,プロンプトの例：良い例,Professional abstract background for: プロンプトの例：良い例,なし,3:4
014,プロンプトの構成要素,Professional abstract background for: プロンプトの構成要素,なし,3:4
015,プロンプトの構成要素（続き）,Professional abstract background for: プロンプトの構成要素（続き）,なし,3:4
016,実習1：プロンプトを書いてみよう（15分）,Professional abstract background for: 実習1：プロンプトを書いてみよう（15分）,なし,3:4
017,プロンプト例の比較,Professional abstract background for: プロンプト例の比較,なし,3:4
018,スタイル指定の例,Professional abstract background for: スタイル指定の例,なし,3:4
019,実習2：スタイルを試す（15分）,Professional abstract background for: 実習2：スタイルを試す（15分）,なし,3:4
020,休憩（10分）,Professional abstract background for: 休憩（10分）,なし,3:4
021,第3部：NanoBananaでキャラクター作成（40分）,Professional abstract background for: 第3部：NanoBananaでキャラクター作成（40分）,なし,3:4
022,NanoBananaとは？,Professional abstract background for: NanoBananaとは？,なし,3:4
023,NanoBananaの強み,Professional abstract background for: NanoBananaの強み,なし,3:4
024,実習3：初めてのキャラクター作成（15分）,Professional abstract background for: 実習3：初めてのキャラクター作成（15分）,なし,3:4
025,キャラクター生成のコツ,Professional abstract background for: キャラクター生成のコツ,なし,3:4
026,実習4：キャラクターのバリエーション（15分）,Professional abstract background for: 実習4：キャラクターのバリエーション（15分）,なし,3:4
027,実習5：ストーリーキャラクター作成（10分）,Professional abstract background for: 実習5：ストーリーキャラクター作成（10分）,なし,3:4
028,キャラクターの修正テクニック,Professional abstract background for: キャラクターの修正テクニック,なし,3:4
029,第4部：実務での活用（20分）,Professional abstract background for: 第4部：実務での活用（20分）,なし,3:4
030,活用シーン1：プレゼン資料,Professional abstract background for: 活用シーン1：プレゼン資料,なし,3:4
031,プレゼン用画像のプロンプト例,Professional abstract background for: プレゼン用画像のプロンプト例,なし,3:4
032,活用シーン2：SNS・ブログ,Professional abstract background for: 活用シーン2：SNS・ブログ,なし,3:4
033,SNS用画像のプロンプト例,Professional abstract background for: SNS用画像のプロンプト例,なし,3:4
034,活用シーン3：デザインのアイデア出し,Professional abstract background for: 活用シーン3：デザインのアイデア出し,なし,3:4
035,デザイナーへの依頼にも活用,Professional abstract background for: デザイナーへの依頼にも活用,なし,3:4
036,実習6：実務用画像作成（15分）,Professional abstract background for: 実習6：実務用画像作成（15分）,なし,3:4
037,第5部：注意点とルール（10分）,Professional abstract background for: 第5部：注意点とルール（10分）,なし,3:4
038,著作権について,Professional abstract background for: 著作権について,なし,3:4
039,やってはいけないこと,Professional abstract background for: やってはいけないこと,なし,3:4
040,倫理的な使用,Professional abstract background for: 倫理的な使用,なし,3:4
041,クオリティの見極め,Professional abstract background for: クオリティの見極め,なし,3:4
042,まとめ（5分）,Professional abstract background for: まとめ（5分）,なし,3:4
043,今日学んだこと,Professional abstract background for: 今日学んだこと,なし,3:4
044,AI画像生成マスターへの道,Professional abstract background for: AI画像生成マスターへの道,なし,3:4
045,実践課題,Professional abstract background for: 実践課題,なし,3:4
046,時短効果,Professional abstract background for: 時短効果,なし,3:4
047,次回予告,Professional abstract background for: 次回予告,なし,3:4
048,参考リソース,Professional abstract background for: 参考リソース,なし,3:4
049,プロンプトテンプレート集,Professional abstract background for: プロンプトテンプレート集,なし,3:4
050,ワンポイントアドバイス,Professional abstract background for: ワンポイントアドバイス,なし,3:4
051,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
052,メッセージ,Professional abstract background for: メッセージ,なし,3:4
053,お疲れ様でした！,Professional abstract background for: お疲れ様でした！,なし,3:4
