slide_number,title,prompt,character,aspect_ratio
015,Bさんへの支援提案,"[プロンプト内容]
a 3:4 aspect ratio photograph depicting a young japanese man, in his early thirties, identified as ""Jukutou Takasaki Shouta,"" kneeling beside a young boy who is focused on a brightly colored, visually engaging learning game on a tablet. The boy is clearly enjoying the activity. Shouta is pointing to the screen with a supportive smile. The background is a structured and organized learning environment with clear visual cues and minimal distractions. There are colorful learning materials within reach, but neatly arranged. No text or labels should be visible in the image. The lighting is bright and encouraging.",塾頭高崎翔太,3:4
016,ケース3：Cさん（10歳・小学5年生）,"[プロンプト内容]
A worried, friendly-looking 30s Japanese male tutor,塾頭高崎翔太, kneels beside a concerned-looking 10-year-old Japanese boy, Cさん, who is working on a math problem at a desk. The boy looks frustrated. The setting is a brightly lit, modern classroom with simple, minimalist decor. Focus is on the interaction and concern between the tutor and student. Avoid any visible text, labels, or numbers in the image. 3:4 aspect ratio.",塾頭高崎翔太,3:4
017,Cさんの検査中の様子,Professional abstract background for: Cさんの検査中の様子,なし,3:4
018,ワーク3：Cさんの特性分析（10分）,Professional abstract background for: ワーク3：Cさんの特性分析（10分）,なし,3:4
019,Cさんの特性解説,Professional abstract background for: Cさんの特性解説,なし,3:4
020,Cさんへの支援提案,Professional abstract background for: Cさんへの支援提案,なし,3:4
021,3ケースの比較,Professional abstract background for: 3ケースの比較,なし,3:4
022,支援を考える際の視点,Professional abstract background for: 支援を考える際の視点,なし,3:4
023,保護者・教員への伝え方,Professional abstract background for: 保護者・教員への伝え方,なし,3:4
024,まとめ,Professional abstract background for: まとめ,なし,3:4
025,質疑応答,Professional abstract background for: 質疑応答,なし,3:4
