slide_number,title,prompt,character,aspect_ratio
011,デザインの基本ルール,"[プロンプト内容]
A 3:4 portrait illustration for an educational presentation on design principles. The central focus is on ""塾頭高崎翔太,"" a friendly and energetic Japanese man in his early 30s. He is gesturing towards three distinct panels, each visually representing a key design rule.
Panel 1: Color Palette. Shows three colored squares representing the base, main, and accent colors. High contrast text (light on dark, dark on light) is demonstrated visually. The colors subtly evoke feelings: red (passion), blue (trust), and green (calmness) through accompanying imagery (e.g., a tiny flame for red, a water droplet for blue, a leaf for green). No actual text labels are present.
Panel 2: Font Choices. Displays two sets of text, one bold sans-serif font for headings and a simpler sans-serif font for body text. Different font sizes and weights are clearly demonstrated to show visual hierarchy. Focus on readability, showing clean and clear fonts.
Panel 3: Layout Principles. Illustrates good use of white space (negative space), clearly aligned elements in a grid layout, and a subtle Z-pattern visual flow. The composition should show visual balance and clear visual guidance.
The overall tone should be bright, welcoming, and informative, emphasizing the key design rules without explicitly labeling them with text. The background should be clean and uncluttered, allowing the illustrated panels and 塾頭高崎翔太 to stand out. Japanese appearance.",塾頭高崎翔太,3:4
012,第2部：Canvaの基本（30分）,"**プロンプト例1:**
[プロンプト内容]
塾頭高崎翔太がCanvaの編集画面を指し示しながら、受講者（数名、日本人）にCanvaの使い方を説明している。背景は明るく清潔感のある研修室。受講者は真剣な表情でPCを見ている。
**プロンプト例2:**
[プロンプト内容]
様々なデザインテンプレートが並んだCanvaの画面を、塾頭高崎翔太が笑顔で指し示している。画面の周りには、デザインのアイデアを思いついたような受講者のイラストが浮かんでいる。背景は、明るくクリエイティブな雰囲気のワークスペース。
**プロンプト例3:**
[プロンプト内容]
Canvaのツールバー（アイコンが並んでいる部分）を拡大したイメージ。塾頭高崎翔太の手が、その中の「テキスト」アイコンに触れようとしている。背景は、グラデーションでシンプルに。
**プロンプト例4:**
[プロンプト内容]
複数のCanvaの画面が並んで表示されているイメージ。それぞれの画面には、異なるデザイン（プレゼンテーション資料、SNS投稿、ポスターなど）が表示されている。背景は、さまざまな色を使った抽象的なデザイン。
**プロンプト例5:**
[プロンプト内容]
Canvaを使ってデザインされた様々な作品が、ギャラリーのように展示されているイメージ。塾頭高崎翔太が、その中で一番優れた作品を指し示しながら、受講者に説明している。背景は、モダンでスタイリッシュなギャラリー。",塾頭高崎翔太,3:4
013,Canvaとは？,Professional abstract background for: Canvaとは？,なし,3:4
014,Canvaでできること,Professional abstract background for: Canvaでできること,なし,3:4
015,Canvaの登録（5分）,Professional abstract background for: Canvaの登録（5分）,なし,3:4
016,Canvaの画面構成,Professional abstract background for: Canvaの画面構成,なし,3:4
017,実習1：テンプレートから作成（15分）,Professional abstract background for: 実習1：テンプレートから作成（15分）,なし,3:4
018,テキストの編集,"[プロンプト内容]
塾頭高崎翔太: 塾頭高崎翔太
30代前半の日本人男性、塾頭高崎翔太が、笑顔で、大きなモニターに向かって、パソコンのキーボードを操作している。モニターには、スプレッドシートのような画面が表示されており、テキストが入力・編集されている様子がわかる。高崎の指がキーボードに触れている様子を強調。高崎はカジュアルな服装で、背景は明るく、モダンなオフィスまたは塾の一室。モニター、キーボード、高崎の顔にピントを合わせ、それ以外の背景はぼかす。縦長（3:4）のアスペクト比。教育・プレゼンテーション用途に適した、わかりやすい構図。",塾頭高崎翔太,3:4
019,画像の追加と編集,Professional abstract background for: 画像の追加と編集,なし,3:4
020,実習2：ゼロから作成（10分）,Professional abstract background for: 実習2：ゼロから作成（10分）,なし,3:4
021,休憩（10分）,Professional abstract background for: 休憩（10分）,なし,3:4
022,第3部：AIを活用したデザイン（35分）,Professional abstract background for: 第3部：AIを活用したデザイン（35分）,なし,3:4
023,CanvaのAI機能,Professional abstract background for: CanvaのAI機能,なし,3:4
024,GeminiでCanvaを支援,Professional abstract background for: GeminiでCanvaを支援,なし,3:4
025,実習3：Gemini + Canva（20分）,Professional abstract background for: 実習3：Gemini + Canva（20分）,なし,3:4
026,キャッチコピーをGeminiに依頼,Professional abstract background for: キャッチコピーをGeminiに依頼,なし,3:4
027,配色をGeminiに相談,Professional abstract background for: 配色をGeminiに相談,なし,3:4
028,レイアウトの相談,Professional abstract background for: レイアウトの相談,なし,3:4
029,実習4：完全オリジナルバナー（15分）,Professional abstract background for: 実習4：完全オリジナルバナー（15分）,なし,3:4
030,第4部：実践テクニック（15分）,Professional abstract background for: 第4部：実践テクニック（15分）,なし,3:4
031,テクニック1：背景をAI画像で,Professional abstract background for: テクニック1：背景をAI画像で,なし,3:4
032,テクニック2：ブランドキット,Professional abstract background for: テクニック2：ブランドキット,なし,3:4
033,テクニック3：複数サイズを一括作成,Professional abstract background for: テクニック3：複数サイズを一括作成,なし,3:4
034,テクニック4：A/Bテスト用バリエーション,Professional abstract background for: テクニック4：A/Bテスト用バリエーション,なし,3:4
035,実習5：テクニック活用（10分）,Professional abstract background for: 実習5：テクニック活用（10分）,なし,3:4
036,第5部：実務での活用（10分）,Professional abstract background for: 第5部：実務での活用（10分）,なし,3:4
037,活用シーン1：SNS運用,Professional abstract background for: 活用シーン1：SNS運用,なし,3:4
038,活用シーン2：イベント告知,Professional abstract background for: 活用シーン2：イベント告知,なし,3:4
039,活用シーン3：Webサイト,Professional abstract background for: 活用シーン3：Webサイト,なし,3:4
040,活用シーン4：営業・提案資料,Professional abstract background for: 活用シーン4：営業・提案資料,なし,3:4
041,実習6：実務用バナー作成（10分）,Professional abstract background for: 実習6：実務用バナー作成（10分）,なし,3:4
042,まとめ（5分）,Professional abstract background for: まとめ（5分）,なし,3:4
043,今日学んだこと,Professional abstract background for: 今日学んだこと,なし,3:4
044,実践課題,Professional abstract background for: 実践課題,なし,3:4
045,バナーデザインマスターへの道,Professional abstract background for: バナーデザインマスターへの道,なし,3:4
046,ワンポイントアドバイス,Professional abstract background for: ワンポイントアドバイス,なし,3:4
047,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
048,メッセージ,Professional abstract background for: メッセージ,なし,3:4
049,お疲れ様でした！,Professional abstract background for: お疲れ様でした！,なし,3:4
