slide_number,title,prompt,character,aspect_ratio
012,ステップ1：構成案を作る,"## 画像生成プロンプト:
[プロンプト内容]
**詳細プロンプト:**
塾頭高崎翔太（30代前半、エネルギッシュで親しみやすい印象の日本人男性）が、ホワイトボードの前に立って、熱心に企画書を作成している様子。ホワイトボードには、手書きで「新規顧客獲得」「ブランディング」と書かれた付箋が貼られている。高崎は笑顔で、ペンを手に、アイデアを書き込もうとしている。周囲には、参考資料と思われる書類や雑誌が散らばっており、企画を練っている真剣な雰囲気を出す。背景は、明るく清潔感のあるオフィススペース。アスペクト比3:4。テキスト、文字、看板、ラベル、タイトルは一切不要。
**キーワード:** 塾頭高崎翔太, 企画書作成, ブランディング, 新規顧客獲得, ホワイトボード, 付箋, オフィス, 真剣, 笑顔, 熱心, 30代, 日本人, エネルギッシュ, 親しみやすい, 3:4, 教育, プレゼンテーション",塾頭高崎翔太,3:4
013,実習1：構成案作成（10分）,"[プロンプト内容]
A 30s Japanese man, ""Jukutou Shota Takasaki"", energetic and friendly, is facilitating a brainstorming session in a modern office. He is standing at a whiteboard covered in diagrams, sticky notes, and handwritten ideas. A small group of diverse individuals are seated around a table, actively engaged in discussion, taking notes, and gesturing with enthusiasm. The atmosphere is collaborative and creative, reflecting the process of generating ideas for a presentation or project proposal. The overall scene conveys a sense of structured brainstorming and teamwork, emphasizing the practical application of creating an outline for a specific theme. 3:4 aspect ratio. No text or labels.",塾頭高崎翔太,3:4
014,実習3：説得力を強化（10分）,Professional abstract background for: 実習3：説得力を強化（10分）,なし,3:4
015,ステップ3：ブラッシュアップ,Professional abstract background for: ステップ3：ブラッシュアップ,なし,3:4
016,長さの調整,Professional abstract background for: 長さの調整,なし,3:4
017,実習4：企画書作成（20分）,Professional abstract background for: 実習4：企画書作成（20分）,なし,3:4
018,休憩（10分）,Professional abstract background for: 休憩（10分）,なし,3:4
019,第3部：文書タイプ別の作成法（25分）,Professional abstract background for: 第3部：文書タイプ別の作成法（25分）,なし,3:4
020,タイプ1：企画書,Professional abstract background for: タイプ1：企画書,なし,3:4
021,企画書のプロンプト例,Professional abstract background for: 企画書のプロンプト例,なし,3:4
022,タイプ2：新聞・ニュース記事,Professional abstract background for: タイプ2：新聞・ニュース記事,なし,3:4
023,記事の信ぴょう性を上げる,Professional abstract background for: 記事の信ぴょう性を上げる,なし,3:4
024,魅力的な見出しを作る,Professional abstract background for: 魅力的な見出しを作る,なし,3:4
025,記事を魅力的に伝える,Professional abstract background for: 記事を魅力的に伝える,なし,3:4
026,AI画像生成で記事を彩る,Professional abstract background for: AI画像生成で記事を彩る,なし,3:4
027,Canvaで仕上げる,Professional abstract background for: Canvaで仕上げる,なし,3:4
028,実習5：新聞記事作成（15分）,Professional abstract background for: 実習5：新聞記事作成（15分）,なし,3:4
029,第4部：実践テクニック（15分）,Professional abstract background for: 第4部：実践テクニック（15分）,なし,3:4
030,テクニック1：テンプレート活用,Professional abstract background for: テクニック1：テンプレート活用,なし,3:4
031,テクニック2：トーンの調整,Professional abstract background for: テクニック2：トーンの調整,なし,3:4
032,テクニック3：箇条書きと表,Professional abstract background for: テクニック3：箇条書きと表,なし,3:4
033,テクニック5：多言語対応,Professional abstract background for: テクニック5：多言語対応,なし,3:4
034,資料の品質チェックリスト,Professional abstract background for: 資料の品質チェックリスト,なし,3:4
035,読み手の視点でチェック,Professional abstract background for: 読み手の視点でチェック,なし,3:4
036,最終調整,Professional abstract background for: 最終調整,なし,3:4
037,実習7：最終仕上げ（10分）,Professional abstract background for: 実習7：最終仕上げ（10分）,なし,3:4
038,まとめ（5分）,Professional abstract background for: まとめ（5分）,なし,3:4
039,今日学んだこと,Professional abstract background for: 今日学んだこと,なし,3:4
040,資料作成の時短効果,Professional abstract background for: 資料作成の時短効果,なし,3:4
041,次回予告,Professional abstract background for: 次回予告,なし,3:4
042,参考リソース,Professional abstract background for: 参考リソース,なし,3:4
043,ワンポイントアドバイス,Professional abstract background for: ワンポイントアドバイス,なし,3:4
044,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
045,メッセージ,Professional abstract background for: メッセージ,なし,3:4
046,お疲れ様でした！,Professional abstract background for: お疲れ様でした！,なし,3:4
