slide_number,title,prompt,character,aspect_ratio
011,Google Geminiとは？,"[プロンプト内容]
塾頭高崎翔太: 塾頭高崎翔太が、ジェスチャーを交えながら、Geminiのインターフェースが投影された巨大なスクリーンを指し示している。背景には、Gmail、Google Docs、スプレッドシートのアイコンが浮かび上がり、それらがシームレスに連携している様子を表現。高崎翔太は明るい笑顔で、教育的な雰囲気と、AIの可能性に対する期待感を演出。アスペクト比3:4。",塾頭高崎翔太,3:4
012,Geminiにアクセスしよう,Professional abstract background for: Geminiにアクセスしよう,なし,3:4
013,Geminiの画面構成,Professional abstract background for: Geminiの画面構成,なし,3:4
014,プロンプトとは？,Professional abstract background for: プロンプトとは？,なし,3:4
015,プロンプトの例：悪い例,Professional abstract background for: プロンプトの例：悪い例,なし,3:4
016,プロンプトの例：良い例,Professional abstract background for: プロンプトの例：良い例,なし,3:4
017,実習：プロンプトを試そう,Professional abstract background for: 実習：プロンプトを試そう,なし,3:4
018,実習：プロンプトを試そう,Professional abstract background for: 実習：プロンプトを試そう,なし,3:4
019,Geminiができること,Professional abstract background for: Geminiができること,なし,3:4
020,休憩（10分）,Professional abstract background for: 休憩（10分）,なし,3:4
021,第3部：仕事でAIを活用する,Professional abstract background for: 第3部：仕事でAIを活用する,なし,3:4
022,AIで変わる働き方,Professional abstract background for: AIで変わる働き方,なし,3:4
023,実際の活用シーン,Professional abstract background for: 実際の活用シーン,なし,3:4
024,ケーススタディ1：Web制作会社の場合,Professional abstract background for: ケーススタディ1：Web制作会社の場合,なし,3:4
025,これからの時代に必要なスキル,Professional abstract background for: これからの時代に必要なスキル,なし,3:4
026,第4部：まとめと次のステップ（10分）,Professional abstract background for: 第4部：まとめと次のステップ（10分）,なし,3:4
027,今日学んだことと、今日から実践できること,Professional abstract background for: 今日学んだことと、今日から実践できること,なし,3:4
028,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
029,参考リンク,Professional abstract background for: 参考リンク,なし,3:4
030,メッセージ,Professional abstract background for: メッセージ,なし,3:4
031,お疲れ様でした！,Professional abstract background for: お疲れ様でした！,なし,3:4
