page_number,image_prompt
11,"はい、以下に画像プロンプトを提案します。

**日本語プロンプト:**

8歳の男の子が、積み木のような玩具で遊んでいる様子。積み木の一部は高く積み上げられているが、一部は崩れている。背景にはグラフがぼんやりと見え、知能検査の結果を示唆する。

**英語プロンプト:**

A portrait of an 8-year-old boy playing with building blocks. Some blocks are stacked high, while others are scattered. A blurred graph in the background hints at intelligence test results."
12,"**日本語プロンプト:**

教室で授業を受けている子供達のシルエット。一人の子供だけ、少し落ち着かない様子で、そわそわと動いている。

**英語プロンプト:**

Silhouette of children in a classroom. One child is visibly restless and fidgety during the lesson."
13,"**日本語プロンプト:**

集中して議論するビジネスパーソンのグループ。カラフルな付箋が貼られたホワイトボードを囲み、真剣な表情で意見を交わしている様子。縦長。

**英語プロンプト:**

A group of business professionals intensely discussing around a whiteboard covered with colorful sticky notes. They are exchanging opinions with serious expressions. Vertical aspect ratio (3:4)."
14,"いくつかプロンプトの候補を挙げます。

**候補1 (日本語):**

「脳の断面図、一方（視覚野）は明るく活発、もう一方（前頭前野）は少し暗く、思考回路が途切れているイメージ。全体的に知的で洗練された印象。」

**候補2 (英語):**

""A stylized brain diagram, the visual cortex area is brightly lit and active, while the prefrontal cortex area is slightly dimmed with broken connections. Overall, a sophisticated and intellectual impression. Aspect ratio 3:4.""

**候補3 (日本語):**

「パズルのピースがいくつか欠けている人の顔のシルエット。視覚的な部分は完成されているが、額の部分に欠落が多い。全体的に落ち着いた色調で、知的な雰囲気。」

**候補4 (英語):**

""A silhouette of a human face with several missing puzzle pieces. The visual areas are complete, but there are many missing pieces in the forehead area. A calm color palette and an intellectual atmosphere. Aspect ratio 3:4.""

**プロンプト選択のポイント:**

*   **抽象度:** 候補1,2は脳の機能にフォーカスしており、より抽象的です。候補3,4は人の顔のシルエットを使用しており、より具体的なイメージを持ちやすいでしょう。
*   **強み・弱みの表現:** いずれの候補も、強みと弱みを対比させるような表現を試みています。
*   **スタイル:** ""知的で洗練された""、""落ち着いた色調で知的な雰囲気"" などのキーワードで、プロフェッショナルな印象になるように工夫しています。
*   **縦長比率:** 英語プロンプトには、念のためアスペクト比 (Aspect ratio 3:4) を明記しました。

これらのプロンプトを参考に、生成される画像のイメージに合わせて調整してみてください。例えば、特定の色の指定、より具体的な脳の部位の強調、あるいは、パズルのピースの種類などを指定することで、より意図した画像が得られる可能性があります。"
15,"**日本語プロンプト:**

学習スペースで、視覚的な教材（カラフルな図やイラスト）を使って勉強するBさん（中学生くらい）。先生がそばで、ホワイトボードを使って短い指示を出している。奥には構造化されたスケジュール表が見える。

**英語プロンプト:**

A middle school student (""B-san"") learning in a study space with visual aids (colorful diagrams and illustrations). A teacher is nearby, giving short instructions using a whiteboard. In the background, a structured schedule is visible.

**プロンプトの意図:**

*   **学習面の支援:** 視覚教材、短い指示
*   **行動面の支援:** 構造化された環境（スケジュール表）
*   **人物:** Bさんと先生を描写することで、支援関係を表現
*   **背景:** 学習スペースを示すことで、状況を具体的に
*   **抽象度:** 具体的な場面を描写しつつ、抽象的な支援内容を包括的に表現"
16,"**日本語プロンプト:**

教室で困惑した表情を浮かべる、少し年齢よりも幼く見える10歳の男の子。テスト用紙を手に持ち、周囲の子どもたちが楽しそうに勉強している様子をぼんやりと見ている。

**英語プロンプト:**

A slightly younger-looking 10-year-old boy in a classroom, looking confused. He's holding a test paper and vaguely watching other children studying happily around him."
17,"はい、以下に画像プロンプトを提案します。

**日本語:**

幼い男の子が、積み木を前にして困惑した表情を浮かべ、そのうちいくつかを手で払いのけている様子。背景は整理された検査室で、母親らしき人物が少し離れた場所から心配そうに見守っている。

**英語:**

A young boy looks frustrated in front of building blocks, sweeping some of them off the table with his hand. The background is a tidy examination room, with a woman who appears to be his mother watching him anxiously from a short distance."
18,"**プロンプト (日本語):**

グループで付箋を使って話し合い、分析を行っている風景。グラフと人物のシルエットを重ね、思考を巡らせる様子を表現する。

**プロンプト (英語):**

A scene of a group discussion using sticky notes for analysis. Overlap a graph with silhouettes of people, conveying the process of thinking and analysis."
19,Illustration for: Cさんの特性解説
20,Illustration for: Cさんへの支援提案
21,Illustration for: 3ケースの比較
22,Illustration for: 支援を考える際の視点
23,Illustration for: 保護者・教員への伝え方
24,Illustration for: まとめ
25,Illustration for: 質疑応答
