slide_number,title,prompt,character,aspect_ratio
056,実務で,Professional abstract background for: 実務で,なし,3:4
057,実務で,Professional abstract background for: 実務で,なし,3:4
058,リサーチの時短,Professional abstract background for: リサーチの時短,なし,3:4
059,テンプレート化,Professional abstract background for: テンプレート化,なし,3:4
060,テンプレート化 (2),Professional abstract background for: テンプレート化 (2),なし,3:4
061,まとめ（5分）,Professional abstract background for: まとめ（5分）,なし,3:4
062,今日学んだこと,Professional abstract background for: 今日学んだこと,なし,3:4
063,実践課題,Professional abstract background for: 実践課題,なし,3:4
064,実践課題 (2),Professional abstract background for: 実践課題 (2),なし,3:4
065,リサーチマスタ,Professional abstract background for: リサーチマスタ,なし,3:4
066,リサーチマスタ,Professional abstract background for: リサーチマスタ,なし,3:4
067,次回予告,Professional abstract background for: 次回予告,なし,3:4
068,参考リソース,Professional abstract background for: 参考リソース,なし,3:4
069,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
070,メッセージ,Professional abstract background for: メッセージ,なし,3:4
071,メッセージ (2),Professional abstract background for: メッセージ (2),なし,3:4
072,お疲れ様で,Professional abstract background for: お疲れ様で,なし,3:4
