slide_number,title,prompt,character,aspect_ratio
011,Geminiの活用方法,"[プロンプト内容]
塾頭高崎翔太 (30代前半, 日本人男性) が、明るい表情で大型モニターを見ながら、数人の生徒たちにエクセルシートの構成について説明している。モニターには、カラフルな表形式のデータとグラフが映し出されている。生徒たちは熱心にメモを取っている。教室は明るく、現代的な雰囲気。背景にはホワイトボードがあり、数式や図が書かれている。アスペクト比 3:4。",塾頭高崎翔太,3:4
012,実習1：シートのテンプレート作成（15分),Professional abstract background for: 実習1：シートのテンプレート作成（15分),なし,3:4
013,Geminiの回答を活用,Professional abstract background for: Geminiの回答を活用,なし,3:4
014,実習2：関数の作成（15分）,Professional abstract background for: 実習2：関数の作成（15分）,なし,3:4
015,実習4：データ整理（10分）,Professional abstract background for: 実習4：データ整理（10分）,なし,3:4
016,休憩（10分）,Professional abstract background for: 休憩（10分）,なし,3:4
017,第3部：実践的な活用例（30分）,Professional abstract background for: 第3部：実践的な活用例（30分）,なし,3:4
018,活用例1：顧客管理シート,Professional abstract background for: 活用例1：顧客管理シート,なし,3:4
019,顧客管理シートの作成,Professional abstract background for: 顧客管理シートの作成,なし,3:4
020,活用例2：経費管理シート,Professional abstract background for: 活用例2：経費管理シート,なし,3:4
021,経費管理シートの作成,Professional abstract background for: 経費管理シートの作成,なし,3:4
022,実習5：実践シート作成（20分）,Professional abstract background for: 実習5：実践シート作成（20分）,なし,3:4
023,第4部：データ分析とグラフ（20分）,Professional abstract background for: 第4部：データ分析とグラフ（20分）,なし,3:4
024,データからグラフを作る,Professional abstract background for: データからグラフを作る,なし,3:4
025,グラフの種類,Professional abstract background for: グラフの種類,なし,3:4
026,実習6：グラフ作成（10分）,Professional abstract background for: 実習6：グラフ作成（10分）,なし,3:4
027,データ分析のヒントを得る,Professional abstract background for: データ分析のヒントを得る,なし,3:4
028,ピボットテーブルの活用,Professional abstract background for: ピボットテーブルの活用,なし,3:4
029,第5部：応用テクニック（15分）,Professional abstract background for: 第5部：応用テクニック（15分）,なし,3:4
030,テクニック1：データの入力規則,Professional abstract background for: テクニック1：データの入力規則,なし,3:4
031,テクニック2：VLOOKUP関数,Professional abstract background for: テクニック2：VLOOKUP関数,なし,3:4
032,テクニック3：QUERY関数,Professional abstract background for: テクニック3：QUERY関数,なし,3:4
033,テクニック4：関数の組み合わせ,Professional abstract background for: テクニック4：関数の組み合わせ,なし,3:4
034,実習7：応用テクニック（10分）,Professional abstract background for: 実習7：応用テクニック（10分）,なし,3:4
035,第6部：便利な機能（10分）,Professional abstract background for: 第6部：便利な機能（10分）,なし,3:4
036,共同編集機能,Professional abstract background for: 共同編集機能,なし,3:4
037,フィルタとソート,Professional abstract background for: フィルタとソート,なし,3:4
038,データの検証,Professional abstract background for: データの検証,なし,3:4
039,テンプレートの保存と再利用,Professional abstract background for: テンプレートの保存と再利用,なし,3:4
040,まとめ（5分）,Professional abstract background for: まとめ（5分）,なし,3:4
041,今日学んだこと,Professional abstract background for: 今日学んだこと,なし,3:4
042,スプレッドシート活用のレベル,Professional abstract background for: スプレッドシート活用のレベル,なし,3:4
043,実践課題,Professional abstract background for: 実践課題,なし,3:4
044,時短効果,Professional abstract background for: 時短効果,なし,3:4
045,次回予告,Professional abstract background for: 次回予告,なし,3:4
046,参考リソース,Professional abstract background for: 参考リソース,なし,3:4
047,ワンポイントアドバイス,Professional abstract background for: ワンポイントアドバイス,なし,3:4
048,質問タイム,Professional abstract background for: 質問タイム,なし,3:4
049,メッセージ,Professional abstract background for: メッセージ,なし,3:4
050,お疲れ様でした！,Professional abstract background for: お疲れ様でした！,なし,3:4
